City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,295.29,88,100,10.75,PN,1721366106
1,rehoboth,-23.3167,17.0833,278.82,36,0,2.33,NA,1721366128
2,chifeng,42.2683,118.9636,308.9,20,45,2.55,CN,1721366151
3,grytviken,-54.2811,-36.5092,271.92,94,79,2.21,GS,1721366174
4,port-aux-francais,-49.35,70.2167,273.8,71,95,9.55,TF,1721366196
5,ulsteinvik,62.3432,5.8487,288.75,88,98,1.79,NO,1721366219
6,lagunas,-5.2269,-75.6753,294.33,75,18,0.7,PE,1721366242
7,isafjordur,66.0755,-23.124,280.07,96,100,2.31,IS,1721366264
8,talnakh,69.4865,88.3972,288.25,41,2,7.83,RU,1721366287
9,gondar,12.6,37.4667,288.87,83,93,1.07,ET,1721366309
10,barra de santo antonio,-9.4047,-35.5072,294.75,80,40,4.8,BR,1721366332
11,camocim,-2.9022,-40.8411,296.05,93,47,4.73,BR,1721366355
12,pisco,-13.7,-76.2167,290.18,77,100,1.54,PE,1721366377
13,margaret river,-33.95,115.0667,287.7,56,84,7.42,AU,1721366400
14,puerto natales,-51.7236,-72.4875,277.39,85,62,4.7,CL,1721366422
15,rockland,41.1668,-74.0496,294.7,76,39,2.24,US,1721366468
16,lebu,-37.6167,-73.65,280.21,65,3,10.94,CL,1721366491
17,tofol,5.3248,163.0078,303.03,79,75,4.12,FM,1721366513
18,bochum,51.4833,7.2167,293.36,80,74,1.19,DE,1721366536
